tag	i	q	k	actual
gamma	822	0.999775	0.900	1
gamma	823	0.999785	0.860	1
gamma	824	0.999795	0.820	1
gamma	825	0.999805	0.780	1
gamma	826	0.999815	0.740	1
gamma	827	0.999825	0.700	1
gamma	828	0.999835	0.660	1
gamma	829	0.999845	0.620	1
gamma	830	0.999855	0.580	1
gamma	831	0.999865	0.540	1
gamma	832	0.999875	0.500	1
gamma	833	0.999885	0.460	1
gamma	834	0.999895	0.420	1
gamma	835	0.999905	0.380	1
gamma	836	0.999915	0.340	1
gamma	837	0.999925	0.300	1
gamma	838	0.999935	0.260	1
gamma	839	0.999945	0.220	1
gamma	840	0.999955	0.180	1
gamma	841	0.999965	0.140	1
gamma	842	0.999975	0.100	1
gamma	843	0.999985	0.060	1
gamma	844	0.999995	0.020	1
gamma	0	0.000005	0.020	1
gamma	1	0.000015	0.060	1
gamma	2	0.000025	0.100	1
gamma	3	0.000035	0.140	1
gamma	4	0.000045	0.180	1
gamma	5	0.000055	0.220	1
gamma	6	0.000065	0.260	1
gamma	7	0.000075	0.300	1
gamma	8	0.000085	0.340	1
gamma	9	0.000095	0.380	1
gamma	10	0.000105	0.420	1
gamma	11	0.000115	0.460	1
gamma	12	0.000125	0.500	1
gamma	13	0.000135	0.540	1
gamma	14	0.000145	0.580	1
gamma	15	0.000155	0.620	1
gamma	16	0.000165	0.660	1
gamma	17	0.000175	0.700	1
gamma	18	0.000185	0.740	1
gamma	19	0.000195	0.780	1
gamma	20	0.000205	0.820	1
gamma	21	0.000215	0.860	1
gamma	22	0.000225	0.900	1
gamma	23	0.000235	0.940	1
gamma	24	0.000245	0.980	1
gamma	25	0.000255	1.020	1
gamma	26	0.000265	1.060	1
gamma	27	0.000275	1.100	1
gamma	28	0.000285	1.140	1
gamma	29	0.000295	1.180	1
gamma	30	0.000305	1.220	1
gamma	31	0.000315	1.260	1
gamma	32	0.000325	1.300	1
gamma	33	0.000335	1.340	1
gamma	34	0.000345	1.380	1
gamma	35	0.000355	1.419	1
gamma	36	0.000365	1.459	1
gamma	37	0.000375	1.499	1
gamma	38	0.000385	1.539	1
gamma	39	0.000395	1.579	1
gamma	40	0.000405	1.619	1
gamma	41	0.000415	1.659	1
gamma	42	0.000425	1.699	1
gamma	43	0.000435	1.739	1
gamma	44	0.000445	1.779	1
gamma	45	0.000455	1.819	1
gamma	46	0.000465	1.859	1
gamma	47	0.000475	1.899	1
gamma	48	0.000485	1.939	1
gamma	49	0.000495	1.979	1
gamma	50	0.000505	2.019	1
gamma	51	0.000515	2.059	1
gamma	52	0.000525	2.099	1
gamma	53	0.000535	2.139	1
gamma	54	0.000545	2.179	1
gamma	55	0.000560	2.239	2
gamma	56	0.000575	2.299	1
gamma	57	0.000585	2.339	1
gamma	58	0.000600	2.399	2
gamma	59	0.000615	2.458	1
gamma	60	0.000625	2.498	1
gamma	61	0.000635	2.538	1
gamma	62	0.000645	2.578	1
gamma	63	0.000655	2.618	1
gamma	64	0.000665	2.658	1
gamma	65	0.000675	2.698	1
gamma	66	0.000690	2.758	2
gamma	67	0.000710	2.838	2
gamma	68	0.000725	2.898	1
gamma	69	0.000740	2.958	2
gamma	70	0.000760	3.038	2
gamma	71	0.000780	3.118	2
gamma	72	0.000800	3.197	2
gamma	73	0.000815	3.257	1
gamma	74	0.000825	3.297	1
gamma	75	0.000845	3.377	3
gamma	76	0.000875	3.497	3
gamma	77	0.000895	3.577	1
gamma	78	0.000910	3.637	2
gamma	79	0.000930	3.717	2
gamma	80	0.000950	3.796	2
gamma	81	0.000965	3.856	1
gamma	82	0.000975	3.896	1
gamma	83	0.000995	3.976	3
gamma	84	0.001015	4.056	1
gamma	85	0.001035	4.136	3
gamma	86	0.001055	4.216	1
gamma	87	0.001070	4.275	2
gamma	88	0.001085	4.335	1
gamma	89	0.001100	4.395	2
gamma	90	0.001115	4.455	1
gamma	91	0.001130	4.515	2
gamma	92	0.001155	4.615	3
gamma	93	0.001190	4.754	4
gamma	94	0.001225	4.894	3
gamma	95	0.001250	4.994	2
gamma	96	0.001265	5.054	1
gamma	97	0.001280	5.113	2
gamma	98	0.001300	5.193	2
gamma	99	0.001315	5.253	1
gamma	100	0.001335	5.333	3
gamma	101	0.001375	5.492	5
gamma	102	0.001425	5.692	5
gamma	103	0.001465	5.851	3
gamma	104	0.001500	5.991	4
gamma	105	0.001530	6.111	2
gamma	106	0.001565	6.250	5
gamma	107	0.001615	6.450	5
gamma	108	0.001665	6.649	5
gamma	109	0.001710	6.828	4
gamma	110	0.001740	6.948	2
gamma	111	0.001760	7.028	2
gamma	112	0.001790	7.147	4
gamma	113	0.001820	7.267	2
gamma	114	0.001845	7.366	3
gamma	115	0.001880	7.506	4
gamma	116	0.001920	7.665	4
gamma	117	0.001960	7.825	4
gamma	118	0.002010	8.024	6
gamma	119	0.002075	8.283	7
gamma	120	0.002125	8.482	3
gamma	121	0.002165	8.641	5
gamma	122	0.002215	8.840	5
gamma	123	0.002270	9.059	6
gamma	124	0.002320	9.258	4
gamma	125	0.002350	9.378	2
gamma	126	0.002390	9.537	6
gamma	127	0.002440	9.736	4
gamma	128	0.002485	9.915	5
gamma	129	0.002525	10.074	3
gamma	130	0.002555	10.194	3
gamma	131	0.002585	10.313	3
gamma	132	0.002620	10.453	4
gamma	133	0.002650	10.572	2
gamma	134	0.002695	10.751	7
gamma	135	0.002755	10.990	5
gamma	136	0.002805	11.189	5
gamma	137	0.002855	11.387	5
gamma	138	0.002895	11.546	3
gamma	139	0.002935	11.706	5
gamma	140	0.002990	11.924	6
gamma	141	0.003040	12.123	4
gamma	142	0.003100	12.362	8
gamma	143	0.003185	12.699	9
gamma	144	0.003275	13.057	9
gamma	145	0.003370	13.435	10
gamma	146	0.003460	13.792	8
gamma	147	0.003535	14.090	7
gamma	148	0.003605	14.368	7
gamma	149	0.003655	14.567	3
gamma	150	0.003730	14.864	12
gamma	151	0.003830	15.261	8
gamma	152	0.003915	15.599	9
gamma	153	0.004000	15.936	8
gamma	154	0.004080	16.253	8
gamma	155	0.004165	16.591	9
gamma	156	0.004265	16.987	11
gamma	157	0.004365	17.384	9
gamma	158	0.004455	17.741	9
gamma	159	0.004555	18.137	11
gamma	160	0.004635	18.454	5
gamma	161	0.004695	18.692	7
gamma	162	0.004770	18.989	8
gamma	163	0.004845	19.286	7
gamma	164	0.004925	19.603	9
gamma	165	0.004990	19.860	4
gamma	166	0.005050	20.098	8
gamma	167	0.005120	20.375	6
gamma	168	0.005190	20.652	8
gamma	169	0.005265	20.949	7
gamma	170	0.005345	21.266	9
gamma	171	0.005435	21.622	9
gamma	172	0.005540	22.037	12
gamma	173	0.005660	22.512	12
gamma	174	0.005800	23.065	16
gamma	175	0.005980	23.777	20
gamma	176	0.006125	24.350	9
gamma	177	0.006225	24.745	11
gamma	178	0.006365	25.298	17
gamma	179	0.006555	26.048	21
gamma	180	0.006745	26.798	17
gamma	181	0.006895	27.390	13
gamma	182	0.007030	27.922	14
gamma	183	0.007190	28.553	18
gamma	184	0.007370	29.263	18
gamma	185	0.007525	29.873	13
gamma	186	0.007650	30.366	12
gamma	187	0.007760	30.799	10
gamma	188	0.007850	31.154	8
gamma	189	0.008000	31.744	22
gamma	190	0.008230	32.649	24
gamma	191	0.008470	33.593	24
gamma	192	0.008715	34.556	25
gamma	193	0.008920	35.362	16
gamma	194	0.009105	36.088	21
gamma	195	0.009295	36.834	17
gamma	196	0.009510	37.678	26
gamma	197	0.009755	38.639	23
gamma	198	0.009980	39.522	22
gamma	199	0.010195	40.364	21
gamma	200	0.010465	41.422	33
gamma	201	0.010750	42.538	24
gamma	202	0.010980	43.438	22
gamma	203	0.011195	44.279	21
gamma	204	0.011370	44.963	14
gamma	205	0.011510	45.510	14
gamma	206	0.011660	46.096	16
gamma	207	0.011840	46.799	20
gamma	208	0.012120	47.892	36
gamma	209	0.012465	49.238	33
gamma	210	0.012730	50.272	20
gamma	211	0.012950	51.129	24
gamma	212	0.013210	52.142	28
gamma	213	0.013455	53.096	21
gamma	214	0.013740	54.205	36
gamma	215	0.014020	55.294	20
gamma	216	0.014225	56.091	21
gamma	217	0.014445	56.945	23
gamma	218	0.014725	58.033	33
gamma	219	0.015005	59.119	23
gamma	220	0.015330	60.380	42
gamma	221	0.015745	61.988	41
gamma	222	0.016100	63.363	30
gamma	223	0.016355	64.350	21
gamma	224	0.016615	65.356	31
gamma	225	0.016975	66.747	41
gamma	226	0.017350	68.196	34
gamma	227	0.017680	69.470	32
gamma	228	0.017990	70.665	30
gamma	229	0.018300	71.860	32
gamma	230	0.018535	72.766	15
gamma	231	0.018760	73.632	30
gamma	232	0.019120	75.018	42
gamma	233	0.019580	76.786	50
gamma	234	0.020100	78.784	54
gamma	235	0.020585	80.645	43
gamma	236	0.020970	82.121	34
gamma	237	0.021320	83.462	36
gamma	238	0.021760	85.146	52
gamma	239	0.022255	87.039	47
gamma	240	0.022720	88.815	46
gamma	241	0.023155	90.475	41
gamma	242	0.023630	92.286	54
gamma	243	0.024080	94.001	36
gamma	244	0.024525	95.694	53
gamma	245	0.024950	97.310	32
gamma	246	0.025310	98.678	40
gamma	247	0.025835	100.670	65
gamma	248	0.026450	103.002	58
gamma	249	0.027095	105.443	71
gamma	250	0.027720	107.806	54
gamma	251	0.028280	109.921	58
gamma	252	0.028855	112.090	57
gamma	253	0.029395	114.124	51
gamma	254	0.029830	115.761	36
gamma	255	0.030235	117.283	45
gamma	256	0.030685	118.974	45
gamma	257	0.031260	121.131	70
gamma	258	0.031875	123.436	53
gamma	259	0.032400	125.401	52
gamma	260	0.032820	126.971	32
gamma	261	0.033440	129.287	92
gamma	262	0.034215	132.177	63
gamma	263	0.034880	134.654	70
gamma	264	0.035700	137.702	94
gamma	265	0.036720	141.487	110
gamma	266	0.037830	145.596	112
gamma	267	0.038525	148.163	27
gamma	268	0.038880	149.473	44
gamma	269	0.039515	151.814	83
gamma	270	0.040395	155.053	93
gamma	271	0.041350	158.561	98
gamma	272	0.042095	161.292	51
gamma	273	0.042630	163.251	56
gamma	274	0.043160	165.189	50
gamma	275	0.043610	166.833	40
gamma	276	0.044090	168.584	56
gamma	277	0.044760	171.026	78
gamma	278	0.045465	173.592	63
gamma	279	0.046275	176.534	99
gamma	280	0.047325	180.341	111
gamma	281	0.048395	184.212	103
gamma	282	0.049470	188.091	112
gamma	283	0.050810	192.913	156
gamma	284	0.052450	198.796	172
gamma	285	0.053675	203.176	73
gamma	286	0.054600	206.475	112
gamma	287	0.055975	211.367	163
gamma	288	0.057620	217.200	166
gamma	289	0.058935	221.847	97
gamma	290	0.059875	225.160	91
gamma	291	0.060845	228.572	103
gamma	292	0.061835	232.046	95
gamma	293	0.062575	234.637	53
gamma	294	0.063085	236.421	49
gamma	295	0.063735	238.691	81
gamma	296	0.064535	241.481	79
gamma	297	0.065360	244.352	86
gamma	298	0.066825	249.438	207
gamma	299	0.068685	255.869	165
gamma	300	0.070050	260.572	108
gamma	301	0.071270	264.762	136
gamma	302	0.072415	268.684	93
gamma	303	0.073115	271.077	47
gamma	304	0.074485	275.748	227
gamma	305	0.076940	284.081	264
gamma	306	0.078870	290.598	122
gamma	307	0.080330	295.508	170
gamma	308	0.081645	299.916	93
gamma	309	0.082685	303.393	115
gamma	310	0.084085	308.059	165
gamma	311	0.085820	313.820	182
gamma	312	0.087485	319.325	151
gamma	313	0.089315	325.351	215
gamma	314	0.091735	333.279	269
gamma	315	0.093795	339.990	143
gamma	316	0.095300	344.872	158
gamma	317	0.097135	350.799	209
gamma	318	0.099330	357.854	230
gamma	319	0.101565	364.998	217
gamma	320	0.103665	371.674	203
gamma	321	0.105860	378.615	236
gamma	322	0.108380	386.535	268
gamma	323	0.110920	394.467	240
gamma	324	0.113275	401.775	231
gamma	325	0.115355	408.193	185
gamma	326	0.117140	413.673	172
gamma	327	0.118795	418.731	159
gamma	328	0.120715	424.572	225
gamma	329	0.122930	431.273	218
gamma	330	0.125250	438.250	246
gamma	331	0.127880	446.107	280
gamma	332	0.130850	454.913	314
gamma	333	0.133975	464.103	311
gamma	334	0.136880	472.575	270
gamma	335	0.139380	479.813	230
gamma	336	0.141680	486.427	230
gamma	337	0.143830	492.572	200
gamma	338	0.146540	500.264	342
gamma	339	0.149070	507.393	164
gamma	340	0.150995	512.782	221
gamma	341	0.153820	520.638	344
gamma	342	0.157450	530.638	382
gamma	343	0.161715	542.253	471
gamma	344	0.164695	550.282	125
gamma	345	0.167560	557.935	448
gamma	346	0.170490	565.693	138
gamma	347	0.172640	571.342	292
gamma	348	0.175725	579.383	325
gamma	349	0.178755	587.207	281
gamma	350	0.181615	594.524	291
gamma	351	0.184605	602.104	307
gamma	352	0.187495	609.362	271
gamma	353	0.190350	616.468	300
gamma	354	0.192320	621.332	94
gamma	355	0.195010	627.924	444
gamma	356	0.198420	636.198	238
gamma	357	0.201860	644.450	450
gamma	358	0.205255	652.502	229
gamma	359	0.208830	660.880	486
gamma	360	0.212785	670.030	305
gamma	361	0.215960	677.285	330
gamma	362	0.219785	685.918	435
gamma	363	0.224235	695.815	455
gamma	364	0.228170	704.434	332
gamma	365	0.231515	711.663	337
gamma	366	0.235035	719.174	367
gamma	367	0.238660	726.806	358
gamma	368	0.242095	733.940	329
gamma	369	0.245460	740.838	344
gamma	370	0.248390	746.770	242
gamma	371	0.250710	751.418	222
gamma	372	0.254060	758.054	448
gamma	373	0.257430	764.639	226
gamma	374	0.259435	768.514	175
gamma	375	0.261080	771.669	154
gamma	376	0.262675	774.707	165
gamma	377	0.264440	778.046	188
gamma	378	0.266530	781.967	230
gamma	379	0.269180	786.889	300
gamma	380	0.272460	792.902	356
gamma	381	0.277545	802.055	661
gamma	382	0.284795	814.747	789
gamma	383	0.290300	824.104	312
gamma	384	0.293520	829.464	332
gamma	385	0.297035	835.221	371
gamma	386	0.301000	841.596	422
gamma	387	0.305170	848.165	412
gamma	388	0.309275	854.496	409
gamma	389	0.314910	862.967	718
gamma	390	0.321575	872.658	615
gamma	391	0.327415	880.858	553
gamma	392	0.331545	886.492	273
gamma	393	0.334215	890.061	261
gamma	394	0.336920	893.620	280
gamma	395	0.340230	897.894	382
gamma	396	0.344435	903.198	459
gamma	397	0.349115	908.935	477
gamma	398	0.354150	914.911	530
gamma	399	0.359510	921.050	542
gamma	400	0.364920	927.014	540
gamma	401	0.370080	932.483	492
gamma	402	0.374970	937.470	486
gamma	403	0.379640	942.054	448
gamma	404	0.383990	946.167	422
gamma	405	0.389645	951.287	709
gamma	406	0.395135	956.013	389
gamma	407	0.400585	960.467	701
gamma	408	0.405535	964.305	289
gamma	409	0.408155	966.258	235
gamma	410	0.411105	968.391	355
gamma	411	0.414975	971.083	419
gamma	412	0.419555	974.114	497
gamma	413	0.424800	977.380	552
gamma	414	0.430570	980.718	602
gamma	415	0.436280	983.759	540
gamma	416	0.440455	985.818	295
gamma	417	0.443700	987.321	354
gamma	418	0.447285	988.885	363
gamma	419	0.452930	991.138	766
gamma	420	0.459930	993.578	634
gamma	421	0.466985	995.640	777
gamma	422	0.474465	997.392	719
gamma	423	0.479900	998.384	368
gamma	424	0.483695	998.937	391
gamma	425	0.489055	999.521	681
gamma	426	0.493970	999.855	302
gamma	427	0.497005	999.964	305
gamma	428	0.502100	999.982	714
gamma	429	0.507625	999.767	391
gamma	430	0.511595	999.462	403
gamma	431	0.515560	999.032	390
gamma	432	0.519460	998.485	390
gamma	433	0.525765	997.345	871
gamma	434	0.533460	995.522	668
gamma	435	0.539005	993.914	441
gamma	436	0.544010	992.252	560
gamma	437	0.549195	990.319	477
gamma	438	0.553755	988.442	435
gamma	439	0.557920	986.581	398
gamma	440	0.562400	984.425	498
gamma	441	0.567325	981.869	487
gamma	442	0.572215	979.140	491
gamma	443	0.577235	976.139	513
gamma	444	0.582310	972.900	502
gamma	445	0.587265	969.539	489
gamma	446	0.592260	965.952	510
gamma	447	0.597165	962.236	471
gamma	448	0.601515	958.779	399
gamma	449	0.605670	955.335	432
gamma	450	0.610805	950.889	595
gamma	451	0.616640	945.580	572
gamma	452	0.622270	940.200	554
gamma	453	0.628850	933.591	762
gamma	454	0.635345	926.727	537
gamma	455	0.639660	921.980	326
gamma	456	0.643135	918.049	369
gamma	457	0.647740	912.692	552
gamma	458	0.652360	907.146	372
gamma	459	0.655480	903.304	252
gamma	460	0.657900	900.270	232
gamma	461	0.660335	897.171	255
gamma	462	0.664310	892.009	540
gamma	463	0.669340	885.296	466
gamma	464	0.673305	879.862	327
gamma	465	0.677440	874.060	500
gamma	466	0.682945	866.125	601
gamma	467	0.688250	858.248	460
gamma	468	0.693650	849.999	620
gamma	469	0.700245	839.608	699
gamma	470	0.705970	830.305	446
gamma	471	0.710330	823.045	426
gamma	472	0.714505	815.950	409
gamma	473	0.718380	809.241	366
gamma	474	0.721870	803.095	332
gamma	475	0.725435	796.716	381
gamma	476	0.729445	789.420	421
gamma	477	0.733600	781.724	410
gamma	478	0.737785	773.833	427
gamma	479	0.741830	766.073	382
gamma	480	0.745175	759.557	287
gamma	481	0.748005	753.974	279
gamma	482	0.750710	748.578	262
gamma	483	0.753740	742.464	344
gamma	484	0.757535	734.703	415
gamma	485	0.761610	726.241	400
gamma	486	0.765355	718.347	349
gamma	487	0.768510	711.610	282
gamma	488	0.771995	704.075	415
gamma	489	0.775525	696.344	291
gamma	490	0.778730	689.238	350
gamma	491	0.782280	681.272	360
gamma	492	0.786065	672.667	397
gamma	493	0.789250	665.338	240
gamma	494	0.791910	659.154	292
gamma	495	0.794790	652.395	284
gamma	496	0.797620	645.689	282
gamma	497	0.800425	638.979	279
gamma	498	0.803395	631.806	315
gamma	499	0.806460	624.329	298
gamma	500	0.808955	618.187	201
gamma	501	0.811880	610.923	384
gamma	502	0.814770	603.679	194
gamma	503	0.817155	597.651	283
gamma	504	0.820165	589.977	319
gamma	505	0.822345	584.375	117
gamma	506	0.823845	580.498	183
gamma	507	0.826700	573.068	388
gamma	508	0.829675	565.258	207
gamma	509	0.831445	560.577	147
gamma	510	0.832890	556.737	142
gamma	511	0.834610	552.145	202
gamma	512	0.836675	546.600	211
gamma	513	0.839590	538.715	372
gamma	514	0.842840	529.843	278
gamma	515	0.845725	521.897	299
gamma	516	0.848770	513.438	310
gamma	517	0.851625	505.439	261
gamma	518	0.854230	498.084	260
gamma	519	0.856575	491.417	209
gamma	520	0.858765	485.151	229
gamma	521	0.861225	478.066	263
gamma	522	0.863780	470.656	248
gamma	523	0.865975	464.249	191
gamma	524	0.868625	456.462	339
gamma	525	0.871100	449.139	156
gamma	526	0.872540	444.856	132
gamma	527	0.874340	439.478	228
gamma	528	0.875950	434.646	94
gamma	529	0.876895	431.801	95
gamma	530	0.878450	427.102	216
gamma	531	0.880335	421.381	161
gamma	532	0.882085	416.044	189
gamma	533	0.884160	409.684	226
gamma	534	0.886355	402.919	213
gamma	535	0.888510	396.240	218
gamma	536	0.890655	389.555	211
gamma	537	0.893370	381.040	332
gamma	538	0.896030	372.641	200
gamma	539	0.898150	365.906	224
gamma	540	0.899880	360.384	122
gamma	541	0.901000	356.796	102
gamma	542	0.902135	353.150	125
gamma	543	0.903090	350.074	66
gamma	544	0.904125	346.732	141
gamma	545	0.905325	342.847	99
gamma	546	0.906525	338.950	141
gamma	547	0.908030	334.046	160
gamma	548	0.909300	329.894	94
gamma	549	0.910255	326.763	97
gamma	550	0.911200	323.658	92
gamma	551	0.912160	320.497	100
gamma	552	0.913260	316.865	120
gamma	553	0.914560	312.560	140
gamma	554	0.915875	308.192	123
gamma	555	0.917105	304.094	123
gamma	556	0.918695	298.778	195
gamma	557	0.920620	292.315	190
gamma	558	0.922115	287.276	109
gamma	559	0.923535	282.472	175
gamma	560	0.925230	276.718	164
gamma	561	0.926625	271.964	115
gamma	562	0.927810	267.914	122
gamma	563	0.929010	263.802	118
gamma	564	0.930210	259.677	122
gamma	565	0.931400	255.576	116
gamma	566	0.932445	251.965	93
gamma	567	0.933465	248.432	111
gamma	568	0.934440	245.048	84
gamma	569	0.935395	241.725	107
gamma	570	0.936570	237.627	128
gamma	571	0.937900	232.974	138
gamma	572	0.939185	228.466	119
gamma	573	0.940375	224.279	119
gamma	574	0.941410	220.629	88
gamma	575	0.942370	217.235	104
gamma	576	0.943565	213.000	135
gamma	577	0.944715	208.914	95
gamma	578	0.945560	205.905	74
gamma	579	0.946165	203.747	47
gamma	580	0.947180	200.120	156
gamma	581	0.948615	194.978	131
gamma	582	0.949920	190.288	130
gamma	583	0.950935	186.631	73
gamma	584	0.952090	182.459	158
gamma	585	0.953320	178.004	88
gamma	586	0.954000	175.536	48
gamma	587	0.954505	173.701	53
gamma	588	0.955470	170.188	140
gamma	589	0.956500	166.431	66
gamma	590	0.957335	163.379	101
gamma	591	0.958275	159.936	87
gamma	592	0.959180	156.615	94
gamma	593	0.960140	153.085	98
gamma	594	0.961140	149.400	102
gamma	595	0.962225	145.392	115
gamma	596	0.963350	141.227	110
gamma	597	0.964210	138.036	62
gamma	598	0.964830	135.732	62
gamma	599	0.965680	132.569	108
gamma	600	0.966820	128.316	120
gamma	601	0.967745	124.858	65
gamma	602	0.968370	122.518	60
gamma	603	0.969000	120.156	66
gamma	604	0.969675	117.622	69
gamma	605	0.970455	114.688	87
gamma	606	0.971155	112.052	53
gamma	607	0.971740	109.845	64
gamma	608	0.972335	107.599	55
gamma	609	0.972850	105.652	48
gamma	610	0.973370	103.683	56
gamma	611	0.973835	101.922	37
gamma	612	0.974230	100.424	42
gamma	613	0.974695	98.659	51
gamma	614	0.975335	96.227	77
gamma	615	0.976005	93.677	57
gamma	616	0.976520	91.715	46
gamma	617	0.977045	89.712	59
gamma	618	0.977550	87.784	42
gamma	619	0.978040	85.911	56
gamma	620	0.978595	83.787	55
gamma	621	0.979135	81.719	53
gamma	622	0.979700	79.552	60
gamma	623	0.980150	77.824	30
gamma	624	0.980495	76.498	39
gamma	625	0.980890	74.979	40
gamma	626	0.981235	73.651	29
gamma	627	0.981525	72.535	29
gamma	628	0.981890	71.128	44
gamma	629	0.982215	69.875	21
gamma	630	0.982405	69.142	17
gamma	631	0.982580	68.466	18
gamma	632	0.982795	67.636	25
gamma	633	0.983095	66.477	35
gamma	634	0.983370	65.414	20
gamma	635	0.983610	64.485	28
gamma	636	0.983915	63.305	33
gamma	637	0.984265	61.950	37
gamma	638	0.984560	60.806	22
gamma	639	0.984845	59.701	35
gamma	640	0.985185	58.382	33
gamma	641	0.985430	57.431	16
gamma	642	0.985610	56.732	20
gamma	643	0.985795	56.013	17
gamma	644	0.986030	55.099	30
gamma	645	0.986245	54.263	13
gamma	646	0.986465	53.407	31
gamma	647	0.986735	52.356	23
gamma	648	0.986995	51.343	29
gamma	649	0.987255	50.330	23
gamma	650	0.987475	49.472	21
gamma	651	0.987700	48.595	24
gamma	652	0.987925	47.717	21
gamma	653	0.988195	46.663	33
gamma	654	0.988520	45.393	32
gamma	655	0.988755	44.474	15
gamma	656	0.988925	43.809	19
gamma	657	0.989080	43.203	12
gamma	658	0.989230	42.616	18
gamma	659	0.989470	41.676	30
gamma	660	0.989735	40.639	23
gamma	661	0.989935	39.855	17
gamma	662	0.990185	38.875	33
gamma	663	0.990485	37.698	27
gamma	664	0.990670	36.972	10
gamma	665	0.990850	36.265	26
gamma	666	0.991125	35.185	29
gamma	667	0.991335	34.360	13
gamma	668	0.991495	33.731	19
gamma	669	0.991675	33.023	17
gamma	670	0.991855	32.315	19
gamma	671	0.991995	31.764	9
gamma	672	0.992085	31.409	9
gamma	673	0.992155	31.134	5
gamma	674	0.992265	30.701	17
gamma	675	0.992410	30.130	12
gamma	676	0.992515	29.716	9
gamma	677	0.992620	29.302	12
gamma	678	0.992745	28.809	13
gamma	679	0.992885	28.258	15
gamma	680	0.993030	27.686	14
gamma	681	0.993165	27.153	13
gamma	682	0.993285	26.680	11
gamma	683	0.993410	26.186	14
gamma	684	0.993585	25.495	21
gamma	685	0.993800	24.646	22
gamma	686	0.993995	23.876	17
gamma	687	0.994145	23.283	13
gamma	688	0.994315	22.611	21
gamma	689	0.994485	21.938	13
gamma	690	0.994615	21.424	13
gamma	691	0.994760	20.850	16
gamma	692	0.994910	20.256	14
gamma	693	0.995055	19.682	15
gamma	694	0.995165	19.246	7
gamma	695	0.995230	18.989	6
gamma	696	0.995280	18.791	4
gamma	697	0.995340	18.553	8
gamma	698	0.995405	18.296	5
gamma	699	0.995455	18.097	5
gamma	700	0.995510	17.879	6
gamma	701	0.995575	17.622	7
gamma	702	0.995645	17.344	7
gamma	703	0.995700	17.126	4
gamma	704	0.995735	16.987	3
gamma	705	0.995775	16.829	5
gamma	706	0.995865	16.472	13
gamma	707	0.995990	15.976	12
gamma	708	0.996080	15.619	6
gamma	709	0.996140	15.380	6
gamma	710	0.996220	15.063	10
gamma	711	0.996300	14.745	6
gamma	712	0.996355	14.527	5
gamma	713	0.996405	14.328	5
gamma	714	0.996455	14.130	5
gamma	715	0.996530	13.832	10
gamma	716	0.996600	13.554	4
gamma	717	0.996625	13.454	1
gamma	718	0.996685	13.216	11
gamma	719	0.996745	12.978	1
gamma	720	0.996775	12.858	5
gamma	721	0.996830	12.640	6
gamma	722	0.996900	12.362	8
gamma	723	0.996960	12.123	4
gamma	724	0.997020	11.884	8
gamma	725	0.997110	11.527	10
gamma	726	0.997170	11.288	2
gamma	727	0.997210	11.129	6
gamma	728	0.997255	10.950	3
gamma	729	0.997285	10.831	3
gamma	730	0.997320	10.691	4
gamma	731	0.997365	10.512	5
gamma	732	0.997425	10.273	7
gamma	733	0.997480	10.055	4
gamma	734	0.997515	9.915	3
gamma	735	0.997555	9.756	5
gamma	736	0.997595	9.597	3
gamma	737	0.997620	9.497	2
gamma	738	0.997660	9.338	6
gamma	739	0.997710	9.139	4
gamma	740	0.997755	8.960	5
gamma	741	0.997815	8.721	7
gamma	742	0.997870	8.502	4
gamma	743	0.997920	8.303	6
gamma	744	0.997970	8.104	4
gamma	745	0.998005	7.964	3
gamma	746	0.998040	7.825	4
gamma	747	0.998065	7.725	1
gamma	748	0.998090	7.625	4
gamma	749	0.998140	7.426	6
gamma	750	0.998185	7.247	3
gamma	751	0.998215	7.127	3
gamma	752	0.998250	6.988	4
gamma	753	0.998290	6.828	4
gamma	754	0.998325	6.689	3
gamma	755	0.998355	6.569	3
gamma	756	0.998385	6.450	3
gamma	757	0.998415	6.330	3
gamma	758	0.998445	6.210	3
gamma	759	0.998480	6.071	4
gamma	760	0.998515	5.931	3
gamma	761	0.998545	5.812	3
gamma	762	0.998575	5.692	3
gamma	763	0.998600	5.592	2
gamma	764	0.998620	5.512	2
gamma	765	0.998635	5.453	1
gamma	766	0.998650	5.393	2
gamma	767	0.998680	5.273	4
gamma	768	0.998705	5.173	1
gamma	769	0.998730	5.074	4
gamma	770	0.998755	4.974	1
gamma	771	0.998775	4.894	3
gamma	772	0.998800	4.794	2
gamma	773	0.998815	4.734	1
gamma	774	0.998840	4.635	4
gamma	775	0.998875	4.495	3
gamma	776	0.998900	4.395	2
gamma	777	0.998920	4.315	2
gamma	778	0.998935	4.255	1
gamma	779	0.998955	4.176	3
gamma	780	0.998980	4.076	2
gamma	781	0.999000	3.996	2
gamma	782	0.999025	3.896	3
gamma	783	0.999045	3.816	1
gamma	784	0.999060	3.756	2
gamma	785	0.999075	3.697	1
gamma	786	0.999085	3.657	1
gamma	787	0.999100	3.597	2
gamma	788	0.999125	3.497	3
gamma	789	0.999145	3.417	1
gamma	790	0.999160	3.357	2
gamma	791	0.999175	3.297	1
gamma	792	0.999185	3.257	1
gamma	793	0.999200	3.197	2
gamma	794	0.999215	3.138	1
gamma	795	0.999230	3.078	2
gamma	796	0.999245	3.018	1
gamma	797	0.999255	2.978	1
gamma	798	0.999265	2.938	1
